title,category,price_gbp,price_inr,rating,in_stock
A Light in the Attic,Poetry,51.77,5461.74,3,True
Tipping the Velvet,Historical Fiction,53.74,5669.57,1,True
Soumission,Fiction,50.1,5285.55,1,True
Sharp Objects,Mystery,47.82,5045.01,4,True
Sapiens: A Brief History of Humankind,History,54.23,5721.26,5,True
The Requiem Red,Young Adult,22.65,2389.57,1,True
The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,3517.37,4,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,1891.62,3,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,2384.3,4,True
The Black Maria,Poetry,52.15,5501.82,1,True
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,1475.94,2,True
Shakespeare's Sonnets,Poetry,20.66,2179.63,4,True
Set Me Free,Young Adult,17.46,1842.03,5,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5516.6,5,True
Rip it Up and Start Again,Music,35.02,3694.61,5,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,6039.88,3,True
Olio,Poetry,23.88,2519.34,1,True
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,3965.75,1,True
Libertarianism for Beginners,Politics,51.33,5415.32,2,True
It's Only the Himalayas,Travel,45.17,4765.44,2,True
In Her Wake,Unknown,12.84,1354.62,1,True
How Music Works,Unknown,37.32,3937.26,2,True
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Unknown,30.52,3219.86,3,True
Chase Me (Paris Nights #2),Unknown,25.27,2665.98,5,True
Black Dust,Unknown,34.53,3642.92,5,True
Birdsong: A Story in Pictures,Unknown,54.64,5764.52,3,True
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Unknown,22.5,2373.75,3,True
Aladdin and His Wonderful Lamp,Unknown,53.13,5605.22,3,True
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Unknown,40.3,4251.65,5,True
Wall and Piece,Unknown,44.18,4660.99,4,True
The Four Agreements: A Practical Guide to Personal Freedom,Unknown,17.66,1863.13,5,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Unknown,31.05,3275.78,3,True
The Elephant Tree,Unknown,23.82,2513.01,5,True
The Bear and the Piano,Unknown,36.89,3891.9,1,True
Sophie's World,Unknown,15.94,1681.67,5,True
Penny Maybe,Unknown,33.29,3512.1,3,True
Maude (1883-1993):She Grew Up with the country,Unknown,18.02,1901.11,2,True
"In a Dark, Dark Wood",Unknown,19.63,2070.96,1,True
Behind Closed Doors,Unknown,52.22,5509.21,4,True
You can't bury them all: Poems,Unknown,33.63,3547.96,2,True
Slow States of Collapse: Poems,Unknown,57.31,6046.2,3,True
Reasons to Stay Alive,Unknown,26.41,2786.26,2,True
Private Paris (Private #10),Unknown,47.61,5022.85,5,True
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Unknown,23.11,2438.1,5,True
Without Borders (Wanderlove #1),Unknown,45.07,4754.88,2,True
When We Collided,Unknown,31.77,3351.74,1,True
"We Love You, Charlie Freeman",Unknown,50.27,5303.48,5,True
Untitled Collection: Sabbath Poems 2014,Unknown,14.27,1505.48,4,True
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Unknown,44.18,4660.99,4,True
Unicorn Tracks,Unknown,18.78,1981.29,3,True
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Unknown,25.52,2692.36,1,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Unknown,16.28,1717.54,1,True
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Unknown,31.12,3283.16,3,True
This One Summer,Unknown,19.49,2056.19,4,True
Thirst,Unknown,17.27,1821.98,5,True
The Torch Is Passed: A Harding Family Story,Unknown,19.09,2014.0,1,True
The Secret of Dreadwillow Carse,Unknown,56.13,5921.72,1,True
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Unknown,56.41,5951.25,1,True
The Past Never Ends,Unknown,56.5,5960.75,4,True
The Natural History of Us (The Fine Art of Pretending #2),Unknown,45.22,4770.71,3,True
The Nameless City (The Nameless City #1),Unknown,38.16,4025.88,4,True
The Murder That Never Was (Forensic Instincts #5),Unknown,54.11,5708.6,3,True
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Unknown,42.96,4532.28,4,True
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Unknown,23.89,2520.4,4,True
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Unknown,16.77,1769.24,3,True
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Unknown,20.59,2172.24,5,True
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Unknown,37.13,3917.22,1,True
The Electric Pencil: Drawings from Inside State Hospital No. 3,Unknown,56.06,5914.33,1,True
The Death of Humanity: and the Case for Life,Unknown,58.11,6130.6,4,True
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Unknown,49.05,5174.77,3,True
The Art Forger,Unknown,40.76,4300.18,3,True
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Unknown,19.73,2081.52,1,True
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Unknown,32.24,3401.32,5,True
