book_id,title,category_id,category_name,price_gbp,price_inr,rating,in_stock
1,A Light in the Attic,1,Poetry,51.77,5461.74,3,1
2,Tipping the Velvet,2,Historical Fiction,53.74,5669.57,1,1
3,Soumission,3,Fiction,50.1,5285.55,1,1
4,Sharp Objects,4,Mystery,47.82,5045.01,4,1
5,Sapiens: A Brief History of Humankind,5,History,54.23,5721.26,5,1
6,The Requiem Red,6,Young Adult,22.65,2389.57,1,1
7,The Dirty Little Secrets of Getting Your Dream Job,7,Business,33.34,3517.37,4,1
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",8,Default,17.93,1891.62,3,1
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,8,Default,22.6,2384.3,4,1
10,The Black Maria,1,Poetry,52.15,5501.82,1,1
11,"Starving Hearts (Triangular Trade Trilogy, #1)",8,Default,13.99,1475.94,2,1
12,Shakespeare's Sonnets,1,Poetry,20.66,2179.63,4,1
13,Set Me Free,6,Young Adult,17.46,1842.03,5,1
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),9,Sequential Art,52.29,5516.6,5,1
15,Rip it Up and Start Again,10,Music,35.02,3694.61,5,1
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",10,Music,57.25,6039.88,3,1
17,Olio,1,Poetry,23.88,2519.34,1,1
18,Mesaerion: The Best Science Fiction Stories 1800-1849,11,Science Fiction,37.59,3965.75,1,1
19,Libertarianism for Beginners,12,Politics,51.33,5415.32,2,1
20,It's Only the Himalayas,13,Travel,45.17,4765.44,2,1
21,In Her Wake,14,Unknown,12.84,1354.62,1,1
22,How Music Works,14,Unknown,37.32,3937.26,2,1
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",14,Unknown,30.52,3219.86,3,1
24,Chase Me (Paris Nights #2),14,Unknown,25.27,2665.98,5,1
25,Black Dust,14,Unknown,34.53,3642.92,5,1
26,Birdsong: A Story in Pictures,14,Unknown,54.64,5764.52,3,1
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,14,Unknown,22.5,2373.75,3,1
28,Aladdin and His Wonderful Lamp,14,Unknown,53.13,5605.22,3,1
29,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,14,Unknown,40.3,4251.65,5,1
30,Wall and Piece,14,Unknown,44.18,4660.99,4,1
